K_BREV_T;K_SAK_T;GYLDIGMAPPING;BREVGYLDIG
PE_IY_04_051;AFP;1;1
PE_IY_04_051;AFP_PRIVAT;1;1
PE_IY_04_051;ALDER;1;1
PE_IY_04_051;BARNEP;1;1
PE_IY_04_051;FAM_PL;1;1
PE_IY_04_051;GAM_YRK;1;1
PE_IY_04_051;GENRL;1;1
PE_IY_04_051;GJENLEV;1;1
PE_IY_04_051;GRBL;1;1
PE_IY_04_051;KRIGSP;1;1
PE_IY_04_051;OMSORG;1;1
PE_IY_04_051;UFOREP;1;1
PE_IY_04_060;AFP;1;1
PE_IY_04_060;AFP_PRIVAT;1;1
PE_IY_04_060;ALDER;1;1
PE_IY_04_060;BARNEP;1;1
PE_IY_04_060;FAM_PL;1;1
PE_IY_04_060;GAM_YRK;1;1
PE_IY_04_060;GENRL;1;1
PE_IY_04_060;GJENLEV;1;1
PE_IY_04_060;GRBL;1;1
PE_IY_04_060;KRIGSP;1;1
PE_IY_04_060;OMSORG;1;1
PE_IY_04_060;UFOREP;1;1
PE_IY_04_061;AFP;1;1
PE_IY_04_061;AFP_PRIVAT;1;1
PE_IY_04_061;ALDER;1;1
PE_IY_04_061;BARNEP;1;1
PE_IY_04_061;FAM_PL;1;1
PE_IY_04_061;GAM_YRK;1;1
PE_IY_04_061;GENRL;1;1
PE_IY_04_061;GJENLEV;1;1
PE_IY_04_061;GRBL;1;1
PE_IY_04_061;KRIGSP;1;1
PE_IY_04_061;OMSORG;1;1
PE_IY_04_061;UFOREP;1;1
PE_IY_04_125;ALDER;1;1
PE_IY_04_126;ALDER;1;1
PE_IY_04_127;ALDER;1;1
PE_IY_05_006;AFP;1;1
PE_IY_05_006;AFP_PRIVAT;1;1
PE_IY_05_006;ALDER;1;1
PE_IY_05_006;BARNEP;1;1
PE_IY_05_006;FAM_PL;1;1
PE_IY_05_006;GAM_YRK;1;1
PE_IY_05_006;GENRL;1;1
PE_IY_05_006;GJENLEV;1;1
PE_IY_05_006;GRBL;1;1
PE_IY_05_006;KRIGSP;1;1
PE_IY_05_006;OMSORG;1;1
PE_IY_05_006;UFOREP;1;1
PE_IY_05_007;AFP;1;1
PE_IY_05_007;AFP_PRIVAT;1;1
PE_IY_05_007;ALDER;1;1
PE_IY_05_007;BARNEP;1;1
PE_IY_05_007;FAM_PL;1;1
PE_IY_05_007;GAM_YRK;1;1
PE_IY_05_007;GENRL;1;1
PE_IY_05_007;GJENLEV;1;1
PE_IY_05_007;GRBL;1;1
PE_IY_05_007;KRIGSP;1;1
PE_IY_05_007;OMSORG;1;1
PE_IY_05_007;UFOREP;1;1
PE_IY_05_008;AFP;1;1
PE_IY_05_008;AFP_PRIVAT;1;1
PE_IY_05_008;ALDER;1;1
PE_IY_05_008;BARNEP;1;1
PE_IY_05_008;FAM_PL;1;1
PE_IY_05_008;GAM_YRK;1;1
PE_IY_05_008;GENRL;1;1
PE_IY_05_008;GJENLEV;1;1
PE_IY_05_008;GRBL;1;1
PE_IY_05_008;KRIGSP;1;1
PE_IY_05_008;OMSORG;1;1
PE_IY_05_008;UFOREP;1;1
PE_IY_05_027;AFP;1;1
PE_IY_05_027;AFP_PRIVAT;1;1
PE_IY_05_027;ALDER;1;1
PE_IY_05_027;BARNEP;1;1
PE_IY_05_027;FAM_PL;1;1
PE_IY_05_027;GAM_YRK;1;1
PE_IY_05_027;GENRL;1;1
PE_IY_05_027;GJENLEV;1;1
PE_IY_05_027;GRBL;1;1
PE_IY_05_027;KRIGSP;1;1
PE_IY_05_027;OMSORG;1;1
PE_IY_05_027;UFOREP;1;1
PE_IY_05_041;AFP;1;1
PE_IY_05_041;AFP_PRIVAT;1;1
PE_IY_05_041;ALDER;1;1
PE_IY_05_041;BARNEP;1;1
PE_IY_05_041;FAM_PL;1;1
PE_IY_05_041;GAM_YRK;1;1
PE_IY_05_041;GENRL;1;1
PE_IY_05_041;GJENLEV;1;1
PE_IY_05_041;GRBL;1;1
PE_IY_05_041;KRIGSP;1;1
PE_IY_05_041;OMSORG;1;1
PE_IY_05_041;UFOREP;1;1
PE_IY_05_101;OMSORG;1;1
PE_IY_05_102;GENRL;1;1
PE_IY_05_102;OMSORG;1;1
PE_IY_05_104;GENRL;1;1
PE_IY_05_104;OMSORG;1;1
PE_IY_05_105;GENRL;1;1
PE_IY_05_105;OMSORG;1;1
PE_IY_05_111;GENRL;1;1
PE_IY_05_200;OMSORG;1;1
PE_IY_05_201;OMSORG;1;1
PE_IY_05_241;ALDER;1;1
PE_IY_05_300;AFP;1;1
PE_IY_05_300;AFP_PRIVAT;1;1
PE_IY_05_300;ALDER;1;1
PE_IY_05_300;BARNEP;1;1
PE_IY_05_300;FAM_PL;1;1
PE_IY_05_300;GAM_YRK;1;1
PE_IY_05_300;GENRL;1;1
PE_IY_05_300;GJENLEV;1;1
PE_IY_05_300;GRBL;1;1
PE_IY_05_300;KRIGSP;1;1
PE_IY_05_300;OMSORG;1;1
PE_IY_05_300;UFOREP;1;1
PE_IY_05_301;AFP;1;1
PE_IY_05_301;AFP_PRIVAT;1;1
PE_IY_05_301;ALDER;1;1
PE_IY_05_301;BARNEP;1;1
PE_IY_05_301;FAM_PL;1;1
PE_IY_05_301;GAM_YRK;1;1
PE_IY_05_301;GENRL;1;1
PE_IY_05_301;GJENLEV;1;1
PE_IY_05_301;GRBL;1;1
PE_IY_05_301;KRIGSP;1;1
PE_IY_05_301;OMSORG;1;1
PE_IY_05_301;UFOREP;1;1
PE_IY_05_401;AFP;1;1
PE_IY_05_401;AFP_PRIVAT;1;1
PE_IY_05_401;ALDER;1;1
PE_IY_05_401;BARNEP;1;1
PE_IY_05_401;FAM_PL;1;1
PE_IY_05_401;GAM_YRK;1;1
PE_IY_05_401;GENRL;1;1
PE_IY_05_401;GJENLEV;1;1
PE_IY_05_401;GRBL;1;1
PE_IY_05_401;KRIGSP;1;1
PE_IY_05_401;OMSORG;1;1
PE_IY_05_401;UFOREP;1;1
PE_IY_05_410;AFP;1;1
PE_IY_05_410;AFP_PRIVAT;1;1
PE_IY_05_410;ALDER;1;1
PE_IY_05_410;BARNEP;1;1
PE_IY_05_410;FAM_PL;1;1
PE_IY_05_410;GAM_YRK;1;1
PE_IY_05_410;GENRL;1;1
PE_IY_05_410;GJENLEV;1;1
PE_IY_05_410;GRBL;1;1
PE_IY_05_410;KRIGSP;1;1
PE_IY_05_410;OMSORG;1;1
PE_IY_05_410;UFOREP;1;1
PE_IY_05_411;AFP;1;1
PE_IY_05_411;AFP_PRIVAT;1;1
PE_IY_05_411;ALDER;1;1
PE_IY_05_411;BARNEP;1;1
PE_IY_05_411;FAM_PL;1;1
PE_IY_05_411;GAM_YRK;1;1
PE_IY_05_411;GENRL;1;1
PE_IY_05_411;GJENLEV;1;1
PE_IY_05_411;GRBL;1;1
PE_IY_05_411;KRIGSP;1;1
PE_IY_05_411;OMSORG;1;1
PE_IY_05_411;UFOREP;1;1
PE_IY_06_103;AFP_PRIVAT;1;1
PE_IY_06_103;ALDER;1;1
PE_IY_06_510;AFP;1;1
PE_IY_06_510;AFP_PRIVAT;1;1
PE_IY_06_510;ALDER;1;1
PE_IY_06_510;BARNEP;1;1
PE_IY_06_510;FAM_PL;1;1
PE_IY_06_510;GAM_YRK;1;1
PE_IY_06_510;GENRL;1;1
PE_IY_06_510;GJENLEV;1;1
